"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Billed","Total AFA"
"Dechert","25","$838,481.00","15,359.50","$11,773,536.55","$0.00"
"DECHERT - BANKRUPTCY","1","$8,901,400.80","10,257.60","$7,956,475.80","$0.00"
"DECHERT - BREACH OF CONTRACT","12","$593,745.78","3,520.00","$2,654,864.50","$0.00"
"DECHERT - BUSINESS INTERRUPTION","7","$157,053.16","970.50","$746,515.00","$0.00"
"DECHERT - ** NOT PROVIDED **","2","$120,156.75","285.30","$187,460.00","$0.00"
"DECHERT - CIVIL RIGHTS","1","$132,368.75","199.00","$132,368.75","$0.00"
"DECHERT - DECLARATORY JUDGMENT","2","$1,731,810.30","127.10","$95,852.50","$0.00"
"Riley Safer Holmes & Cancila LLP","50","$361,122.86","15,964.80","$8,013,814.94","$0.00"
"RILEY SAFER HOLMES & CANCILA LLP - BREACH OF CONTRACT","33","$290,676.09","9,654.80","$4,912,716.75","$0.00"
"RILEY SAFER HOLMES & CANCILA LLP - FRAUD/MISREPRESENTATION","1","$1,944,857.05","1,821.00","$864,827.80","$0.00"
"RILEY SAFER HOLMES & CANCILA LLP - DECLARATORY JUDGMENT","3","$1,139,775.93","1,432.20","$717,705.29","$0.00"
"RILEY SAFER HOLMES & CANCILA LLP - ** NOT PROVIDED **","3","$226,964.17","1,255.60","$617,198.50","$0.00"
"RILEY SAFER HOLMES & CANCILA LLP - BAD FAITH","2","$437,585.83","485.20","$243,152.90","$0.00"
"RILEY SAFER HOLMES & CANCILA LLP - CIVIL RIGHTS","1","$240,580.90","461.00","$233,685.90","$0.00"
"RILEY SAFER HOLMES & CANCILA LLP - TCPA","2","$89,218.30","359.00","$175,964.10","$0.00"
"RILEY SAFER HOLMES & CANCILA LLP - RICO","1","$175,258.00","351.50","$175,258.00","$0.00"
"RILEY SAFER HOLMES & CANCILA LLP - BUSINESS INTERRUPTION","1","$65,308.50","70.40","$35,836.00","$0.00"
"RILEY SAFER HOLMES & CANCILA LLP - UNIFORM COMMERCIAL CODE","1","$29,353.90","58.70","$29,353.90","$0.00"
"Holland & Knight","10","$1,071,168.48","26,142.30","$7,060,126.10","$0.00"
"HOLLAND & KNIGHT - FRAUD/MISREPRESENTATION","8","$1,242,823.41","23,501.80","$6,292,913.60","$0.00"
"HOLLAND & KNIGHT - ** NOT PROVIDED **","2","$384,548.75","2,640.50","$767,212.50","$0.00"
"Jorden Burt","106","$111,134.56","14,859.50","$5,563,910.65","$0.00"
"JORDEN BURT - BREACH OF CONTRACT","77","$113,287.21","8,681.90","$3,129,443.40","$0.00"
"JORDEN BURT - DECLARATORY JUDGMENT","2","$709,572.50","2,896.90","$1,265,257.00","$0.00"
"JORDEN BURT - BAD FAITH","23","$60,677.12","2,979.50","$1,037,588.75","$0.00"
"JORDEN BURT - QUI TAM","1","$161,196.10","181.80","$80,989.50","$0.00"
"JORDEN BURT - BUSINESS INTERRUPTION","1","$40,885.00","90.20","$40,885.00","$0.00"
"JORDEN BURT - NEGLIGENCE","1","$35,887.00","18.40","$5,286.00","$0.00"
"JORDEN BURT - BANKRUPTCY","1","$4,461.00","10.80","$4,461.00","$0.00"
"Pacific Law Partners, LLP","125","$66,396.20","21,607.90","$5,414,890.90","$0.00"
"PACIFIC LAW PARTNERS, LLP - BREACH OF CONTRACT","107","$62,754.46","19,085.10","$4,754,376.65","$0.00"
"PACIFIC LAW PARTNERS, LLP - BAD FAITH","8","$88,901.23","1,363.70","$347,561.75","$0.00"
"PACIFIC LAW PARTNERS, LLP - BUSINESS INTERRUPTION","4","$137,543.13","455.00","$132,480.00","$0.00"
"PACIFIC LAW PARTNERS, LLP - DECLARATORY JUDGMENT","3","$67,007.50","403.10","$104,755.00","$0.00"
