"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Expenses","Total Billed","Total AFA"
"Lewis, Brisbois, Bisgaard & Smith","1,070","$80,167.46","167,147.96","$1,866,302.89","$30,430,323.88","$102,139.50"
"Wilmer Hale","9","$1,963,557.08","28,414.40","$178,469.21","$15,642,274.20","$8,194.95"
"WEINBERG WHEELER HUDGINS GUNN & DIAL LLC","179","$136,341.54","45,593.82","$332,565.10","$12,907,154.64","$17,856.00"
"Nicolaides Fink Thorpe Michaelides Sullivan Llp","396","$58,359.87","53,261.78","$221,566.85","$12,724,005.26","$5,005.00"
"Gibson, Dunn & Crutcher","69","$1,945,436.42","14,034.24","$353,945.80","$11,994,607.84","$199,923.95"
"Sidley Austin","63","$388,967.45","15,472.30","$1,545,115.89","$12,080,589.55","$1,006,508.23"
"Steptoe & Johnson","327","$51,526.98","46,929.55","$208,266.70","$10,455,370.65","$0.00"
"Wilson, Elser, Moskowitz, Edelman & Dicker, Llp","592","$45,595.85","53,975.30","$720,854.21","$10,331,836.65","$108,000.00"
"HEROLD & SAGER","148","$88,276.62","44,590.29","$78,913.47","$8,724,019.43","$0.00"
"Weil, Gotshal & Manges","28","$3,364,724.01","10,135.08","$219,740.61","$8,196,504.07","$106,478.93"
"MCDOWELL HETHERINGTON LLP","367","$36,038.00","19,887.25","$534,657.10","$7,209,004.25","$0.00"
"SCHOUEST BAMDAS SOSHEA & BENMAIER PLLC","1,113","$14,300.77","38,443.24","$125,840.92","$9,062,031.91","$1,870,474.66"
"Mound Cotton Wollan & Greengrass LLP","199","$41,576.67","52,018.66","$159,894.39","$7,099,152.96","$0.00"
"JACKSON & CAMPBELL PC","328","$37,089.20","29,754.40","$68,672.18","$6,073,851.26","$0.00"
"Gordon Rees Scully Mansukhani","168","$73,594.27","29,714.19","$261,310.24","$5,969,962.99","$4,208.00"
"Hinkhouse Williams Walsh Llp","96","$110,695.18","21,176.91","$59,257.59","$5,777,675.47","$0.00"
"SHAUB AHMUTY CITRIN & SPRATT LLP","158","$142,171.28","26,856.59","$13,262.30","$5,775,903.42","$0.00"
"Pullin, Fowler, Flanagan, Brown & Poe PLLC","295","$31,411.68","33,320.90","$140,687.30","$5,658,788.31","$0.00"
"Carlton Fields,","375","$40,142.92","17,541.76","$38,307.53","$5,437,312.03","$5,915.00"
"O'Melveny & Myers","3","$639,137.82","8,344.50","$75,597.07","$5,284,756.16","$0.00"
"Marshall, Dennehey, Warner, Coleman & Goggin","412","$42,184.69","34,135.17","$169,976.01","$5,201,899.63","$0.00"
"YOKA & SMITH","173","$39,999.20","24,384.32","$654,396.91","$5,173,084.95","$0.00"
"BAILEY & WYANT PLLC","288","$33,747.05","32,635.37","$143,409.82","$5,107,908.07","$0.00"
"Wood Smith Henning & Berman","208","$61,281.56","31,777.00","$298,810.09","$4,845,779.11","$0.00"
"Willkie Farr & Gallagher","18","$160,465.70","5,265.40","$22,051.66","$11,903,251.65","$7,250,000.00"
"Debevoise & Plimpton","29","$603,147.86","5,371.50","$88,245.71","$7,102,002.81","$2,451,354.64"
"Husch Blackwell","38","$151,180.51","15,999.72","$198,221.08","$4,641,524.38","$0.00"
"Foley & Lardner","22","$195,379.02","12,112.61","$128,806.31","$5,081,965.69","$570,571.50"
"Quinn & Quinn","618","$15,184.69","21,256.26","$112,025.64","$4,739,227.72","$364,911.84"
"DONOVAN HATEM LLP","372","$49,969.69","27,268.52","$948,045.63","$7,060,936.05","$2,752,213.70"
"Stroock & Stroock & Lavan","14","$458,647.80","10,015.00","$339,947.44","$4,254,428.57","$22,596.51"
